Beat1,Beat2,Correlation
1322,2123,0.364319358
2123,1322,0.364319358
1311,2111,0.36422616
2111,1311,0.36422616
132,1313,0.364006591
1313,132,0.364006591
225,215,0.362798959
215,225,0.362798959
134,233,0.362709275
233,134,0.362709275
2132,1322,0.362562573
1322,2132,0.362562573
1332,2333,0.361622279
2333,1332,0.361622279
1311,2133,0.36099029
2133,1311,0.36099029
1925,215,0.359028728
215,1925,0.359028728
1311,1211,0.358481842
1211,1311,0.358481842
1324,2323,0.358080658
2323,1324,0.358080658
1214,1232,0.358033566
1232,1214,0.358033566
2313,233,0.357693175
233,2313,0.357693175
1914,235,0.357314545
235,1914,0.357314545
1331,2322,0.357277313
2322,1331,0.357277313
911,2132,0.356758707
2132,911,0.356758707
2311,911,0.355892112
911,2311,0.355892112
1935,215,0.355372554
215,1935,0.355372554
2122,1332,0.355131401
1332,2122,0.355131401
2124,1332,0.355113149
1332,2124,0.355113149
1211,1313,0.35451943
1313,1211,0.35451943
2323,1312,0.353951394
1312,2323,0.353951394
1935,225,0.35375305
225,1935,0.35375305
2312,1333,0.353686158
1333,2312,0.353686158
2333,1324,0.353619797
1324,2333,0.353619797
1312,2111,0.352659236
2111,1312,0.352659236
121,1935,0.351380391
1935,121,0.351380391
1324,132,0.35133588
132,1324,0.35133588
2133,1331,0.350697391
1331,2133,0.350697391
1211,1323,0.350391003
1323,1211,0.350391003
2131,1333,0.350360363
1333,2131,0.350360363
121,1934,0.350087615
1934,121,0.350087615
2332,911,0.349716711
911,2332,0.349716711
1921,1934,0.348323751
1934,1921,0.348323751
1934,215,0.347824342
215,1934,0.347824342
2312,1332,0.347435086
1332,2312,0.347435086
1333,132,0.347240689
132,1333,0.347240689
2324,911,0.346491275
911,2324,0.346491275
134,1312,0.346366237
1312,134,0.346366237
2322,1311,0.345588796
1311,2322,0.345588796
1332,2112,0.345562358
2112,1332,0.345562358
1313,2323,0.344732779
2323,1313,0.344732779
134,1313,0.344569132
1313,134,0.344569132
1322,2131,0.344468705
2131,1322,0.344468705
1232,1221,0.344348995
1221,1232,0.344348995
2332,1322,0.344176698
1322,2332,0.344176698
2312,911,0.343858198
911,2312,0.343858198
1331,134,0.34362727
134,1331,0.34362727
2313,911,0.34358471
911,2313,0.34358471
1925,225,0.343306225
225,1925,0.343306225
1322,2324,0.343180146
2324,1322,0.343180146
1323,2133,0.343083961
2133,1323,0.343083961
121,1915,0.343008649
1915,121,0.343008649
1333,2133,0.342499107
2133,1333,0.342499107
1333,2113,0.342392939
2113,1333,0.342392939
2331,1932,0.341416473
1932,2331,0.341416473
1333,134,0.341156667
134,1333,0.341156667
1924,1831,0.341077069
1831,1924,0.341077069
1225,1232,0.341070143
1232,1225,0.341070143
2133,233,0.341022498
233,2133,0.341022498
2313,1332,0.340557327
1332,2313,0.340557327
2323,1333,0.340200509
1333,2323,0.340200509
225,1915,0.339805211
1915,225,0.339805211
1323,134,0.336934279
134,1323,0.336934279
825,2123,0.335674214
2123,825,0.335674214
112,1914,0.335053981
1914,112,0.335053981
134,1311,0.334522169
1311,134,0.334522169
2331,1332,0.333814411
1332,2331,0.333814411
1313,2322,0.333753887
2322,1313,0.333753887
233,2323,0.333642491
2323,233,0.333642491
1331,2111,0.333334845
2111,1331,0.333334845
132,1323,0.332659344
1323,132,0.332659344
1322,2124,0.331976508
2124,1322,0.331976508
2113,1332,0.331792983
1332,2113,0.331792983
231,1925,0.33078833
1925,231,0.33078833
1313,233,0.330495783
233,1313,0.330495783
1235,1232,0.329635851
1232,1235,0.329635851
1332,2332,0.329573756
2332,1332,0.329573756
1914,231,0.329264603
231,1914,0.329264603
2131,911,0.32925787
911,2131,0.32925787
1323,233,0.329007633
233,1323,0.329007633
2131,825,0.328587451
825,2131,0.328587451
235,215,0.328056011
215,235,0.328056011
825,1311,0.326969007
1311,825,0.326969007
1935,235,0.326345697
235,1935,0.326345697
2132,825,0.324862747
825,2132,0.324862747
2324,1932,0.324576937
1932,2324,0.324576937
212,1914,0.323830598
1914,212,0.323830598
